,Operatore,Profilo,Velocità (down/up),Territorio,Periodo,Tipo,Media,Dev. Std.,Min,Max,TP%,Misure
300,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"5,3Mbps","974,5","1,5Mbps","6,1Mbps",,39213
301,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,52ms,"19,1", ,"
52ms
",0%,19864
302,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,486.0kbps,"4,2",486.0kbps,487.0kbps,,39143
303,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"13,0Mbps","2422,9","6,3Mbps","14,5Mbps",,36476
304,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,30ms,"0,6", ,"
31ms
",0%,18531
305,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,494.0kbps,"2,5",493.0kbps,497.0kbps,,36480
306,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"14,2Mbps","358,6","13,8Mbps","14,7Mbps",,16680
307,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,13ms,"4,2", ,"
13ms
",0%,8316
308,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,396.0kbps,"18,5",399.0kbps,400.0kbps,,16680
309,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,8Mbps","257,5","6,7Mbps","6,8Mbps",,10920
310,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,12ms,"1,1", ,"
14ms
",0%,5404
311,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,388.0kbps,"33,6",310.0kbps,400.0kbps,,10915
312,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"7,7Mbps","157,1","7,7Mbps","7,7Mbps",,41253
313,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,33ms,"117,1", ,"
30ms
",0%,20627
314,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,359.0kbps,"9,9",343.0kbps,362.0kbps,,41260
315,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"1,9Mbps","21,8","1,9Mbps","2,0Mbps",,41240
316,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,20ms,115, ,"
17ms
",0%,20617
317,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,359.0kbps,"10,1",337.0kbps,363.0kbps,,41240
318,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,0Mbps","958,8","4,4Mbps","6,6Mbps",,104434
319,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,27ms,"13,9", ,"
50ms
",0%,52428
320,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,652.0kbps,"151,2",433.0kbps,910.0kbps,,104632
321,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"5,7Mbps","912,8","4,3Mbps","6,9Mbps",,343207
322,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,30ms,"11,7", ,"
49ms
",0%,172184
323,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,272.0kbps,"151,8",164.0kbps,731.0kbps,,343808
324,BritishTelecom,"VipDuet,VipAssolo","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"9,7Mbps","4070,1","3,5Mbps","14,6Mbps",,138283
325,BritishTelecom,"VipDuet,VipAssolo","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,25ms,"10,7", ,"
42ms
",0%,69575
326,BritishTelecom,"VipDuet,VipAssolo","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,834.0kbps,"100,6",667.0kbps,950.0kbps,,121225
327,Eolo,Formula,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"5,7Mbps","1283,5","3,1Mbps","6,9Mbps",,658493
328,Eolo,Formula,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,2Mbps","1061,6","4,1Mbps","7,2Mbps",,508648
329,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"7,3Mbps","3622,4","4,8Mbps","13,1Mbps",,55055
330,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,27ms,"3,5", ,"
32ms
",0%,27628
331,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,811.0kbps,"34,4",768.0kbps,864.0kbps,,54285
332,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,6Mbps","416,5","6,4Mbps","6,9Mbps",,71260
333,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,28ms,"7,8", ,"
34ms
",0%,35831
334,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,865.0kbps,"7,7",860.0kbps,872.0kbps,,70729
335,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"9,4Mbps","252,5","9,4Mbps","9,5Mbps",,99808
336,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,9ms,"3,7", ,"
12ms
",0%,49513
337,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,"9,0Mbps","476,7","8,1Mbps","9,4Mbps",,98069
338,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"10,0Mbps","935,3","9,3Mbps","10,5Mbps",,489901
339,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,19ms,"8,4", ,"
30ms
",0%,249959
340,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,822.0kbps,89,707.0kbps,868.0kbps,,485869
341,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"14,1Mbps","3793,6","10,1Mbps","20,0Mbps",,122525
342,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,26ms,76, ,"
38ms
",0%,61170
343,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,"3,1Mbps","3765,3",804.0kbps,"9,8Mbps",,122218
344,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"16,2Mbps","3191,6","13,5Mbps","19,5Mbps",,129241
345,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,18ms,"8,5", ,"
27ms
",0%,65371
346,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,858.0kbps,"126,7",495.0kbps,979.0kbps,,130127
347,LineaCom,"E4BfBusiness,Cremafibra","
30,0Mbps30,7Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"18,6Mbps","5442,3","13,6Mbps","28,7Mbps",,20380
348,LineaCom,"E4BfBusiness,Cremafibra","
30,0Mbps30,7Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,6ms,"7,5", ,"
19ms
",0%,10143
349,LineaCom,"E4BfBusiness,Cremafibra","
30,0Mbps30,7Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,"1,5Mbps","22,7","1,5Mbps","1,5Mbps",,20328
350,SiPortal,SiAdsl7Mega,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,1Mbps","98,5","5,9Mbps","6,2Mbps",,15860
351,SiPortal,SiAdsl7Mega,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,31ms,"1,8", ,"
33ms
",0%,7930
352,SiPortal,SiAdsl7Mega,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,170.0kbps,"0,8",170.0kbps,171.0kbps,,15860
353,Terra,FlyCombi,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"3,5Mbps","658,3","2,3Mbps","4,0Mbps",,40400
354,Terra,FlyCombi,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,21ms,"10,6", ,"
46ms
",0%,20177
355,Terra,FlyCombi,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,499.0kbps,"6,9",493.0kbps,501.0kbps,,40400
356,Terra,"FlyCombi,FlyDualCombi,FlyConnectADSL","
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,1Mbps","1009,8","3,9Mbps","6,7Mbps",,40914
357,Terra,"FlyCombi,FlyDualCombi,FlyConnectADSL","
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,21ms,"9,9", ,"
43ms
",0%,20444
358,Terra,"FlyCombi,FlyDualCombi,FlyConnectADSL","
7,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,535.0kbps,"11,1",503.0kbps,539.0kbps,,40938
359,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,5Mbps","155,2","6,4Mbps","6,7Mbps",,513663
360,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,51ms,"8,3", ,"
62ms
",0%,256851
361,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,397.0kbps,"9,9",396.0kbps,398.0kbps,,512116
362,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"9,2Mbps","359,4","8,5Mbps","9,6Mbps",,612105
363,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,36ms,11, ,"
46ms
",0%,306023
364,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,850.0kbps,"89,1",639.0kbps,968.0kbps,,609780
365,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,9Mbps","796,3","6,4Mbps","7,0Mbps",,295278
366,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"14,8Mbps","1500,3","13,3Mbps","16,6Mbps",,270809
367,Vianova,Vianova2.5,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"3,8Mbps","262,2","3,3Mbps","4,0Mbps",,85943
368,Vianova,Vianova2.5,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,37ms,"14,1", ,"
56ms
",0%,42916
369,Vianova,Vianova2.5,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,520.0kbps,67,467.0kbps,692.0kbps,,84881
370,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"12,3Mbps","1668,3","9,5Mbps","14,9Mbps",,55858
371,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,48ms,"10,9", ,"
63ms
",0%,27935
372,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,0ms,0, ,"
ms
",0%,0
373,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,523.0kbps,13,506.0kbps,528.0kbps,,55712
374,Vodafone,"SuperADSL
","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"13,3Mbps","2060,9","9,5Mbps","16,5Mbps",,236308
375,Vodafone,"SuperADSL
","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,48ms,"9,9", ,"
62ms
",0%,118093
376,Vodafone,"SuperADSL
","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,749.0kbps,"124,6",529.0kbps,938.0kbps,,196555
377,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Download,"6,7Mbps","165,7","6,6Mbps","6,8Mbps",,366375
378,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Ping,13ms,"4,4", ,"
18ms
",0%,183350
379,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Nazionale,"
Gen2016Giu2016
",Upload,424.0kbps,"18,2",406.0kbps,430.0kbps,,356593
380,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Download,"16,4Mbps","490,8","15,7Mbps","16,6Mbps",,123612
381,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Ping,14ms,"2,8", ,"
20ms
",0%,61831
382,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2016Giu2016
",Upload,824.0kbps,39,734.0kbps,840.0kbps,,122757
383,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"51,9ms","3,9", ,"
52,9ms
",0%,36100
384,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"30,1ms","1,1", ,"
30,9ms
",0%,36820
385,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"12,4ms","0,4", ,"
13,1ms
",0%,212
386,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"12,2ms","4,2", ,"
12,8ms
",0%,7260
387,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"33,4ms","118,3", ,"
29,9ms
",0%,16488
388,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"18,9ms","92,3", ,"
16,6ms
",0%,22100
389,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"25,4ms","18,1", ,"
68,6ms
",0%,80836
390,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"32,6ms","14,4", ,"
57,4ms
",0%,438368
391,BritishTelecom,"VipDuet,VipAssolo","
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"27,2ms","11,2", ,"
44,1ms
",0%,350224
392,Eolo,Formula,"
7,0Mbps512.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"21,4ms","15,1", ,"
37,2ms
",0%,291544
393,Eolo,Formula,"
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"19,6ms","12,5", ,"
38,1ms
",0%,356796
394,Fastweb,JetUBB,"
100,0Mbps20,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"12,1ms","3,3", ,"
14,8ms
",0%,6268
395,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"27,2ms","4,4", ,"
28,2ms
",0%,26488
396,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"21,2ms","21,6", ,"
31,7ms
",0%,251488
397,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"23,3ms","8,0", ,"
32,7ms
",0%,62416
398,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"16,3ms","4,8", ,"
24,6ms
",0%,44720
399,SiPortal,SiAdsl7Mega,"
7,0Mbps384.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"32,2ms","2,7", ,"
36,9ms
",0%,28174
400,Terra,FlyCombi,"
4,0Mbps512.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"21,9ms","10,1", ,"
38,6ms
",0%,28032
401,Terra,"FlyCombi,FlyDualCombi,FlyConnectADSL","
7,0Mbps512.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"20,1ms","10,0", ,"
31,5ms
",0%,29416
402,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"42,5ms","18,9", ,"
48,3ms
",0%,322196
403,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"29,7ms","11,9", ,"
35,9ms
",0%,374604
404,Tiscali,TuttoIncluso,"
7,0Mbps384.0kbps
",Nazionale,"
Lug2016Dic2016
",Download,"6,6Mbps","862,8","5,2Mbps",,,39570
405,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Download,"7,4Mbps","337,4","7,2Mbps",,,71831
406,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Download,"16,4Mbps","1235,0","14,6Mbps",,,71723
407,Vianova,Vianova2.5,"
4,0Mbps512.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"23,8ms","3,5", ,"
28,2ms
",0%,31380
408,Vodafone,"SuperADSL
","
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"40,4ms","13,4", ,"
57ms
",0%,179800
409,Vodafone,SuperADSL,"
16,0Mbps1,2Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"40,3ms","9,5", ,"
52,8ms
",0%,44080
410,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Nazionale,"
Lug2016Dic2016
",Ping,"15,0ms","4,6", ,"
24,5ms
",0%,418272
411,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
12,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"19,4ms","6,2", ,"
34,8ms
",0%,29200
412,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
14,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"11,7ms","2,2", ,"
14,6ms
",0%,98076
413,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
17,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"18,3ms","4,8", ,"
24,9ms
",0%,31536
414,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Nazionale,"
Lug2016Dic2016
",Ping,"14,0ms","2,6", ,"
16,8ms
",0%,130310
415,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"49,6ms","2,0", ,"
51,2ms
",0%,38160
416,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"27,5ms","0,9", ,"
28,1ms
",0%,42890
417,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"12,9ms","6,1", ,"
13,3ms
",0%,164
418,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"12,4ms","0,6", ,"
13,1ms
",0%,5760
419,Brennercom,AllesKlar,"
8,0Mbps384.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"33,9ms","126,7", ,"
29,9ms
",0%,22108
420,Brennercom,AllesKlarLight,"
2,0Mbps256.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"19,7ms","103,3", ,"
16,6ms
",0%,28028
421,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"17,2ms","6,6", ,"
19,4ms
",0%,59424
422,Eolo,Formula,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"19,7ms","12,8", ,"
35,4ms
",0%,289804
423,Eolo,Formula,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"20,0ms","12,1", ,"
39,4ms
",0%,380716
424,Fastweb,JetUBB,"
100,0Mbps20,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"12,7ms","3,6", ,"
15,2ms
",0%,33668
425,Fastweb,Joy,"
160,0Mbps20,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"12,6ms","1,2", ,"
15,5ms
",0%,8544
426,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"15,0ms","7,2", ,"
27,3ms
",0%,53260
427,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"20,9ms","9,3", ,"
31,2ms
",0%,334800
428,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"23,6ms","6,5", ,"
30,4ms
",0%,85664
429,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"17,0ms","6,0", ,"
26,2ms
",0%,94288
430,LineaCom,"E4BfBusiness,Cremafibra","
30,0Mbps30,7Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"4,7ms","4,0", ,"
7,4ms
",0%,1384
431,SiPortal,SiAdsl7Mega,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"30,8ms","1,8", ,"
33,5ms
",0%,32464
432,Terra,FlyCombi,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"19,7ms","9,7", ,"
27,2ms
",0%,28908
433,Terra,"FlyCombi,FlyDualCombi,FlyConnectADSL","
7,0Mbps512.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"19,4ms","9,3", ,"
24,6ms
",0%,26292
434,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"41,6ms","7,1", ,"
49,1ms
",0%,368828
435,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"29,1ms","8,6", ,"
36,0ms
",0%,394804
436,Tiscali,TuttoIncluso,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2017Giu2017
",Download,"6,8Mbps","678,9","5,4Mbps",,,23566
437,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Download,"7,4Mbps","99,0","7,3Mbps",,,81229
438,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Download,"16,2Mbps","1141,2","14,6Mbps",,,72681
439,Vianova,Vianova2.5,"
4,0Mbps512.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"32,5ms","11,2", ,"
50,3ms
",0%,72248
440,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"47,4ms","6,6", ,"
58,0ms
",0%,274604
441,Vodafone,"SuperADSL
","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"36,8ms","12,9", ,"
50,9ms
",0%,174440
442,Vodafone,SuperADSL,"
16,0Mbps1,2Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"41,8ms","19,0", ,"
59,4ms
",0%,124684
443,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Nazionale,"
Gen2017Giu2017
",Ping,"15,2ms","5,7", ,"
25,0ms
",0%,386540
444,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
10,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"20,8ms","23,3", ,"
26,4ms
",0%,7716
445,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
12,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"13,7ms","3,3", ,"
19,9ms
",0%,29224
446,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
14,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"11,6ms","2,9", ,"
15,8ms
",0%,94948
447,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
17,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"20,8ms","6,7", ,"
24,1ms
",0%,33860
448,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Nazionale,"
Gen2017Giu2017
",Ping,"13,7ms","5,2", ,"
15,8ms
",0%,107980
